q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J,Escenario
0.0,1.0,0.1,406519.68816621276,1412595318.2651985,0.0,0.0002473560667906883,816384868.6338953,201987.7129789356,816586856.3468742,0.0,0.14125953182651982,1.1614848233320366e-05,0.0,0.14127114667475313,Sin tratamiento
2.0,1.0,0.1,427192.02649060683,1306107055.9091008,1.4,0.0002858984678416041,779736824.5553584,222989.31576377657,779959813.8711222,0.18184117302523503,0.13061070559091006,1.2205486471160197e-05,0.0016666666666666666,0.1322895777440479,Baja intensidad
8.0,1.0,0.1,645030.9748882882,387935709.62985456,5.6,0.0017534849653811654,293780276.3930636,516044.17348043085,294296320.56654406,0.7273646947943101,0.038793570962985455,1.842945642537966e-05,0.006666666666666666,0.0454786670860775,Alta intensidad
6.226776700482475,1.7499988582104515,0.41297910794883524,701825.4761101347,29039799.30905892,10.286143187321604,0.03889221456659169,16143079.084525494,653246.2904123721,16796325.374937866,1.4805031386446657,0.002903979930905892,2.0052156460289566e-05,0.012245408556335245,0.015169440643701427,Optimizada
