Parametro,Sens_AUC_R,Sens_AUC_N,AUC_R_menos20,AUC_R_mas20,AUC_N_menos20,AUC_N_mas20
r_s,-0.11324146486000454,7.367148924505206,709651.5932534677,677861.2494715626,10298603.826501403,95874982.63918763
r_r,6.982321723401152,0.16717390929688383,233433.29280890006,2193584.623041154,28576324.56954789,30518207.099165495
mutation_rate,1.3412077458170992e-05,6.212472019214635e-07,701833.5004967188,701837.2656772006,29040007.575362265,29040014.791734084
elimination_rate,0.11398082449284722,3.954242233330522,678527.6001102804,710525.5047616567,11738713.385705909,57670964.07647665
emax_s,0.0744466637403395,-4.655274205405563,687381.1183224897,708280.5745123854,67566038.91388267,13490641.09565959
emax_r,-0.12744105675962009,-0.00303417098850971,719957.6461978309,684181.0425365645,29057934.549246166,29022689.793295667
ec50_s,-0.07210801623149207,4.467868113958853,709126.1342533305,688883.2079695329,11563496.806007177,63461996.228691764
ec50_r,0.2564335398358455,0.006138084602874815,656756.8913667897,728745.631521913,28995414.89148558,29066714.529723205
